sector_name,stock_code,roe,pbr,start_price,end_price,stock_name
무역회사와판매업체,011810,2.7089013696,1.59,4450.0,3445.0,
무역회사와판매업체,011760,0.1245414544,0.4,19270.0,29000.0,
레저용장비와제품,121440,1.5586122317,0.21,3495.0,5600.0,
레저용장비와제품,365900,0.1478036992,0.55,2920.0,3520.0,
건강관리장비와용품,389650,-0.0377249209,0.0,42650.0,46550.0,
건강관리장비와용품,398120,-0.1331322073,0.0,4130.0,3395.0,
항공화물운송과물류,009180,0.7890276471,0.49,2075.0,2595.0,
항공화물운송과물류,032280,0.3068976071,0.68,2735.0,1494.0,
디스플레이패널,052330,0.1172990777,0.34,7930.0,9100.0,
디스플레이패널,034220,0.0988591222,0.48,9060.0,8960.0,
